section_id,basin_id,run,ok,lat,lon,station_along_ft,thalweg_elev_ft,bankfull_depth_ft,topbank_depth_ft,d100_above_thalweg_ft
CC-TIL-705_r2_089,CC-TIL-705,2,1,35.283286126895376,-83.19891733593535,4950.0,2305.5,1.92,2.66,5.2
CC-TIL-705_r2_090,CC-TIL-705,2,1,35.2834480916814,-83.19796590991585,5250.0,2285.22,1.85,3.52,6.02
CC-TIL-705_r2_091,CC-TIL-705,2,1,35.28317082320184,-83.19702359330354,5550.0,2265.56,1.48,2.18,4.52
CC-TIL-705_r2_092,CC-TIL-705,2,1,35.28321915154585,-83.19603284214902,5850.0,2246.74,1.89,1.9,5.77
CC-TIL-705_r2_093,CC-TIL-705,2,0,35.28284469841835,-83.19513357135789,6150.0,2232.74,0.05,0.49,2.97
CC-TIL-705_r2_094,CC-TIL-705,2,0,35.282429290546624,-83.19426616598922,6450.0,2215.21,0.3,5.04,2.27
CC-TIL-705_r2_095,CC-TIL-705,2,0,35.28193865270936,-83.19345609199553,6750.0,2198.42,0.35,0.37,2.93
CC-TIL-705_r2_096,CC-TIL-705,2,1,35.28144940033084,-83.19265080094065,7050.0,2182.07,1.97,2.11,3.99
CC-MS-1100_r0_000,CC-MS-1100,0,1,35.25686258483404,-83.1814871106611,150.0,2238.11,2.0,2.82,4.42
CC-MS-1100_r0_001,CC-MS-1100,0,1,35.257647243018226,-83.1817033871746,450.0,2233.63,3.12,3.3,4.88
CC-MS-1100_r0_002,CC-MS-1100,0,0,35.258316348223175,-83.18227107976602,750.0,2231.52,1.13,4.0,4.43
CC-MS-1100_r0_003,CC-MS-1100,0,1,35.25914032014595,-83.18229353325694,1050.0,2228.1,2.85,6.06,5.69
CC-MS-1100_r0_004,CC-MS-1100,0,1,35.25967667607761,-83.18287925788026,1350.0,2226.11,2.96,3.48,5.47
CC-MS-1100_r0_005,CC-MS-1100,0,1,35.26042070934033,-83.18263638749839,1650.0,2222.87,2.44,2.47,5.37
CC-MS-1100_r0_006,CC-MS-1100,0,1,35.261147926953,-83.18253270296192,1950.0,2219.39,2.94,3.17,4.41
