basin_id,Tc_min,wetness,posture,duration,rain_in,note
CC-TIL-705,62,0.35,EMERGENCY,1h,5.7,
CC-TIL-705,62,0.35,EMERGENCY,2h,6.24,
CC-TIL-705,62,0.35,EMERGENCY,3h,6.82,
CC-TIL-705,62,0.35,EMERGENCY,6h,8.41,
CC-TIL-705,62,0.35,EMERGENCY,12h,9.59,
CC-TIL-705,62,0.35,EMERGENCY,24h,10.48,
CC-TIL-705,62,0.35,EMERGENCY,48h,11.1,
CC-TIL-705,62,0.35,EMERGENCY,TypeII-24h-design,8.68,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.5,WATCH,1h,2.31,
CC-TIL-705,62,0.5,WATCH,2h,2.39,
CC-TIL-705,62,0.5,WATCH,3h,2.58,
CC-TIL-705,62,0.5,WATCH,6h,2.93,
CC-TIL-705,62,0.5,WATCH,12h,3.23,
CC-TIL-705,62,0.5,WATCH,24h,3.45,
CC-TIL-705,62,0.5,WATCH,48h,3.59,
CC-TIL-705,62,0.5,WATCH,TypeII-24h-design,3.38,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.5,WARNING,1h,3.36,
CC-TIL-705,62,0.5,WARNING,2h,3.59,
CC-TIL-705,62,0.5,WARNING,3h,3.98,
CC-TIL-705,62,0.5,WARNING,6h,4.66,
CC-TIL-705,62,0.5,WARNING,12h,5.23,
CC-TIL-705,62,0.5,WARNING,24h,5.64,
CC-TIL-705,62,0.5,WARNING,48h,5.92,
CC-TIL-705,62,0.5,WARNING,TypeII-24h-design,5.01,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.5,EMERGENCY,1h,5.04,
CC-TIL-705,62,0.5,EMERGENCY,2h,5.58,
CC-TIL-705,62,0.5,EMERGENCY,3h,6.06,
CC-TIL-705,62,0.5,EMERGENCY,6h,7.62,
CC-TIL-705,62,0.5,EMERGENCY,12h,8.75,
CC-TIL-705,62,0.5,EMERGENCY,24h,9.6,
CC-TIL-705,62,0.5,EMERGENCY,48h,10.17,
CC-TIL-705,62,0.5,EMERGENCY,TypeII-24h-design,7.76,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.7,WATCH,1h,1.82,
CC-TIL-705,62,0.7,WATCH,2h,1.9,
CC-TIL-705,62,0.7,WATCH,3h,2.06,
CC-TIL-705,62,0.7,WATCH,6h,2.35,
CC-TIL-705,62,0.7,WATCH,12h,2.61,
CC-TIL-705,62,0.7,WATCH,24h,2.79,
CC-TIL-705,62,0.7,WATCH,48h,2.92,
CC-TIL-705,62,0.7,WATCH,TypeII-24h-design,2.67,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.7,WARNING,1h,2.75,
CC-TIL-705,62,0.7,WARNING,2h,2.97,
CC-TIL-705,62,0.7,WARNING,3h,3.27,
CC-TIL-705,62,0.7,WARNING,6h,3.92,
CC-TIL-705,62,0.7,WARNING,12h,4.43,
CC-TIL-705,62,0.7,WARNING,24h,4.8,
CC-TIL-705,62,0.7,WARNING,48h,5.06,
CC-TIL-705,62,0.7,WARNING,TypeII-24h-design,4.14,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.7,EMERGENCY,1h,4.29,
CC-TIL-705,62,0.7,EMERGENCY,2h,4.83,
CC-TIL-705,62,0.7,EMERGENCY,3h,5.18,
CC-TIL-705,62,0.7,EMERGENCY,6h,6.72,
CC-TIL-705,62,0.7,EMERGENCY,12h,7.79,
CC-TIL-705,62,0.7,EMERGENCY,24h,8.55,
CC-TIL-705,62,0.7,EMERGENCY,48h,9.09,
CC-TIL-705,62,0.7,EMERGENCY,TypeII-24h-design,6.71,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.85,WATCH,1h,1.5,
CC-TIL-705,62,0.85,WATCH,2h,1.58,
CC-TIL-705,62,0.85,WATCH,3h,1.73,
CC-TIL-705,62,0.85,WATCH,6h,1.97,
CC-TIL-705,62,0.85,WATCH,12h,2.2,
CC-TIL-705,62,0.85,WATCH,24h,2.36,
CC-TIL-705,62,0.85,WATCH,48h,2.47,
CC-TIL-705,62,0.85,WATCH,TypeII-24h-design,2.21,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.85,WARNING,1h,2.35,
CC-TIL-705,62,0.85,WARNING,2h,2.56,
CC-TIL-705,62,0.85,WARNING,3h,2.81,
CC-TIL-705,62,0.85,WARNING,6h,3.43,
CC-TIL-705,62,0.85,WARNING,12h,3.9,
CC-TIL-705,62,0.85,WARNING,24h,4.25,
CC-TIL-705,62,0.85,WARNING,48h,4.5,
CC-TIL-705,62,0.85,WARNING,TypeII-24h-design,3.57,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,0.85,EMERGENCY,1h,3.78,
CC-TIL-705,62,0.85,EMERGENCY,2h,4.33,
CC-TIL-705,62,0.85,EMERGENCY,3h,4.6,
CC-TIL-705,62,0.85,EMERGENCY,6h,6.13,
CC-TIL-705,62,0.85,EMERGENCY,12h,7.12,
CC-TIL-705,62,0.85,EMERGENCY,24h,7.86,
CC-TIL-705,62,0.85,EMERGENCY,48h,8.39,
CC-TIL-705,62,0.85,EMERGENCY,TypeII-24h-design,6.01,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,1.0,WATCH,1h,1.21,
CC-TIL-705,62,1.0,WATCH,2h,1.28,
CC-TIL-705,62,1.0,WATCH,3h,1.42,
CC-TIL-705,62,1.0,WATCH,6h,1.63,
CC-TIL-705,62,1.0,WATCH,12h,1.83,
CC-TIL-705,62,1.0,WATCH,24h,1.97,
CC-TIL-705,62,1.0,WATCH,48h,2.06,
CC-TIL-705,62,1.0,WATCH,TypeII-24h-design,1.79,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,1.0,WARNING,1h,1.98,
CC-TIL-705,62,1.0,WARNING,2h,2.19,
CC-TIL-705,62,1.0,WARNING,3h,2.38,
CC-TIL-705,62,1.0,WARNING,6h,2.99,
CC-TIL-705,62,1.0,WARNING,12h,3.42,
CC-TIL-705,62,1.0,WARNING,24h,3.75,
CC-TIL-705,62,1.0,WARNING,48h,3.98,
CC-TIL-705,62,1.0,WARNING,TypeII-24h-design,3.04,LEGACY design storm - the shape the old single-column table used
CC-TIL-705,62,1.0,EMERGENCY,1h,3.32,
CC-TIL-705,62,1.0,EMERGENCY,2h,3.88,
CC-TIL-705,62,1.0,EMERGENCY,3h,4.07,
CC-TIL-705,62,1.0,EMERGENCY,6h,5.59,
CC-TIL-705,62,1.0,EMERGENCY,12h,6.53,
CC-TIL-705,62,1.0,EMERGENCY,24h,7.25,
CC-TIL-705,62,1.0,EMERGENCY,48h,7.77,
CC-TIL-705,62,1.0,EMERGENCY,TypeII-24h-design,5.38,LEGACY design storm - the shape the old single-column table used
CC-SPD-1830,62,0.15,WATCH,1h,3.47,
CC-SPD-1830,62,0.15,WATCH,2h,3.55,
CC-SPD-1830,62,0.15,WATCH,3h,3.79,
